AREAKEY,YEAR,TRCTPOP8,SHR8D,SHRWHT8,SHRBLK8,SHRAMI8N,SHRAPI8N,SHROTH8N,SHRHSP8,NUMHHS8,SMHSE8,LCLMV8,EDUC168,EDUCPP8,UNEMPRT8,WELFARE8,FAVINC8D,AVHHIN8N,AVHHIN8,FEM198A,FEM248,FEM298,FEM348,FEM748,FEM758,MEN198A,MEN248,MEN298,MEN348,MEN748,MEN758,TOTHSUN8,VACHU8,RNTOCC8,OWNOCC8,TTUNIT58,AGGVAL8,M35PI108,M35PI208,M35PIX8,MDGRENT8,R35PI108,R35PI208,R35PIX8
44007000101,1980,4246,4246,0.796043,0.133537,22,107,169,0.075836,1382,0.494615,0.301026,210,2270,0.083542,0.1411,1009,20227268,14636.22865,63,216,211,182,200,115,150,222,179,171,120,46,1508,117,677,714,145,14350000,36,10,0,217,72,0,0
44007000102,1980,4631,4631,0.729432,0.166487,45,142,295,0.105377,1525,0.482172,0.308146,225,2466,0.086957,0.170492,1087,21742841,14257.60066,72,235,236,192,206,144,148,225,195,181,125,53,1687,153,821,713,225,14207250,36,10,0,218,93,0,0
44007000200,1980,5999,5999,0.519087,0.270045,142,283,840,0.199367,2045,0.442308,0.331176,275,3154,0.098813,0.259169,1356,26870921,13139.81467,108,301,331,224,217,262,124,224,250,216,139,79,2357,302,1404,651,565,12503500,31,8,0,221,180,0,0
44007000300,1980,6719,6719,0.502009,0.291859,122,581,681,0.136776,2521,0.430835,0.319412,266,3616,0.14624,0.229274,1384,29295209,11620.47164,133,339,281,221,212,244,153,430,318,282,209,85,2982,427,1955,598,1059,5662000,8,2,0,197,248,0,0
44007000400,1980,3334,3334,0.34943,0.425315,118,202,431,0.241452,1045,0.428857,0.359547,69,1626,0.16249,0.330144,737,10649325,10190.74163,63,154,135,147,68,72,20,182,170,103,48,30,1294,263,734,297,267,3366250,4,14,0,216,124,0,0
44007000500,1980,2754,2754,0.25345,0.525054,111,111,388,0.1939,859,0.498746,0.355769,46,1162,0.273927,0.393481,644,9846656,11462.92899,51,114,112,119,58,30,27,104,99,63,7,35,1313,428,636,250,537,2751250,6,0,0,155,70,0,0
44007000600,1980,1848,1848,0.316017,0.598485,38,7,108,0.062771,758,0.597775,0.29918,47,1035,0.194203,0.298153,390,7913152,10439.51451,41,80,50,67,67,46,30,74,78,74,50,26,934,227,482,222,226,1988870,11,0,0,218,55,0,0
44007000700,1980,1304,1304,0.396472,0.483129,9,7,137,0.092791,801,0.39759,0.381526,78,927,0.111901,0.324594,264,6233740,7782.446941,0,85,62,25,81,68,39,76,28,74,57,44,951,162,692,96,563,430146,0,0,0,134,11,0,0
44007000800,1980,2132,2132,0.891182,0.082552,2,41,17,0.021576,1229,0.375,0.292763,276,1535,0.081143,0.08869,241,17792708,14477.38649,129,133,26,40,263,337,163,147,36,59,190,111,1286,51,1227,10,1227,48419,1,0,0,191,99,0,0
44007000900,1980,2186,2186,0.971638,0.003202,5,10,40,0.031107,1064,0.663168,0.307729,57,1620,0.12296,0.234962,565,10156103,9545.209586,27,74,78,63,186,264,12,90,65,41,109,71,1175,152,848,175,458,715607,0,0,0,159,72,0,0
44007001000,1980,2296,2296,0.980836,0,0,18,23,0.034408,1020,0.65808,0.277752,106,1440,0.13012,0.172549,569,10697494,10487.73922,33,138,56,80,227,157,40,92,76,65,137,45,1260,193,850,214,496,2757501,0,0,17,179,76,0,0
44007001100,1980,2803,2803,0.93721,0.023546,0,0,110,0.08812,1244,0.607529,0.31271,138,1757,0.103957,0.196945,695,14211112,11423.72347,26,137,121,78,124,126,101,133,121,118,162,60,1470,208,1006,257,322,1585238,12,0,0,190,102,0,0
44007001200,1980,2486,2486,0.254224,0.625101,139,39,122,0.036605,955,0.630035,0.207093,64,1448,0.113001,0.365445,503,7751410,8116.659686,55,99,117,92,122,109,55,73,104,87,35,53,1135,171,883,81,599,417500,25,0,0,173,100,0,0
44007001300,1980,3773,3773,0.926849,0.054598,6,40,24,0.102836,1453,0.55591,0.27752,87,2121,0.083279,0.248451,965,15812177,10882.43427,62,205,196,77,191,143,66,132,108,162,119,76,1761,315,1078,368,341,3282315,10,0,0,192,78,0,0
44007001400,1980,5348,5348,0.5819,0.261032,98,269,473,0.160434,1950,0.409679,0.355444,117,2929,0.148529,0.252821,1230,21040629,10790.06615,82,271,208,182,252,222,91,258,223,181,153,109,2364,400,1430,534,486,5917215,26,0,0,202,165,0,0
44007001500,1980,2592,2592,0.953704,0.006173,7,79,18,0.009645,973,0.614553,0.250728,120,1594,0.069291,0.093525,722,15047145,15464.69168,39,144,119,103,150,107,33,124,103,110,81,63,1004,34,363,607,15,16604000,22,7,0,245,69,0,0
44007001600,1980,6197,6197,0.993384,0.001291,1,25,6,0.012425,2527,0.65756,0.284148,223,3867,0.099934,0.142857,1848,36786403,14557.34191,161,380,313,234,323,212,102,270,296,221,209,131,2683,225,1508,951,73,15008970,28,8,0,220,260,0,0
44007001700,1980,3039,3039,0.986509,0.001645,0,36,0,0.001645,1241,0.662224,0.289723,117,2003,0.129737,0.13054,892,16463236,13266.10475,56,178,149,88,231,102,49,150,127,115,129,90,1365,114,685,567,65,8375750,44,0,0,212,109,0,0
44007001800,1980,5479,5479,0.870779,0.070633,28,12,279,0.068078,2143,0.556186,0.363352,190,3204,0.111006,0.247668,1478,26171340,12212.47784,116,264,187,194,347,197,94,239,164,178,231,80,2370,228,1379,760,726,19845749,60,5,0,157,148,0,0
44007001900,1980,4556,4556,0.960272,0.012072,29,23,77,0.055531,1965,0.569139,0.312679,72,2766,0.170792,0.214249,1172,21905982,11148.08244,52,244,181,152,395,124,64,245,167,164,184,102,2287,326,1507,457,439,3657249,21,0,1,178,111,0,0
44007002000,1980,3701,3701,0.893812,0.074845,37,19,57,0.101594,1337,0.679883,0.245521,146,2183,0.09323,0.086013,1070,20750228,15519.99103,61,193,178,106,193,99,52,169,149,92,128,78,1500,162,672,663,357,18316414,41,0,0,147,46,0,0
44007002101,1980,2527,2527,0.989711,0,4,10,11,0.009893,1005,0.73037,0.226007,134,1713,0.074981,0.104478,751,16936835,16852.57214,51,128,115,82,191,98,31,102,116,64,119,69,1055,63,420,571,24,16216491,22,4,0,231,62,0,0
44007002102,1980,4506,4506,0.989791,0,8,18,20,0.009765,1793,0.730259,0.226182,239,3055,0.075354,0.104852,1340,30200296,16843.44451,92,229,205,147,341,176,56,182,207,114,212,124,1882,112,750,1019,42,28915840,40,7,0,231,111,0,0
44007002200,1980,3766,3766,0.986458,0.009294,16,0,0,0.002655,1500,0.577401,0.344915,161,2394,0.086905,0.132,937,19063345,12708.89667,74,235,206,72,255,108,38,201,190,135,172,72,1653,138,1056,459,122,6140000,10,0,0,220,191,0,0
44007002300,1980,5315,5315,0.986077,0.002258,14,48,0,0.010348,2067,0.638046,0.243797,844,3427,0.049314,0.050314,1405,42353445,20490.29753,74,385,277,141,390,242,86,337,227,166,240,115,2180,102,908,1170,110,37224000,57,6,0,242,139,0,0
44007002400,1980,7872,7872,0.987297,0.004954,1,38,24,0.005462,2147,0.670695,0.147774,825,4221,0.056063,0.075454,1732,44876256,20901.84257,815,747,194,202,431,297,409,506,194,194,311,169,2221,48,423,1753,45,66948169,112,6,0,240,63,0,0
44007002500,1980,2359,2359,0.894447,0.055108,13,82,27,0.042391,1013,0.489262,0.338469,118,1328,0.131552,0.209279,603,11449367,11302.43534,11,114,130,73,171,79,39,161,103,61,113,34,1104,167,688,249,117,1255470,0,0,0,202,120,0,0
44007002600,1980,3429,3429,0.857101,0.107903,10,87,23,0.084573,1498,0.559354,0.292728,160,2221,0.130701,0.178238,826,16521780,11029.22563,86,187,121,163,217,156,44,136,137,154,115,94,1765,228,1179,357,273,3562653,11,0,0,181,136,0,0
44007002700,1980,3724,3724,0.787863,0.189044,11,9,66,0.010741,1255,0.530268,0.318104,125,1885,0.095477,0.169721,851,16799285,13385.88446,148,246,155,84,169,112,209,369,142,102,124,45,1735,464,786,485,292,9686250,32,0,0,188,46,0,0
44007002800,1980,5085,5085,0.965585,0.014749,25,63,12,0.00354,2030,0.615432,0.287077,233,3233,0.101789,0.151724,1401,28175875,13879.74138,101,300,216,158,339,200,117,306,210,143,210,116,2274,226,1145,903,322,22560000,44,7,0,216,183,0,0
44007002900,1980,5834,5834,0.994001,0,0,0,35,0.0036,2447,0.735996,0.23184,210,4007,0.077206,0.118512,1676,36102014,14753.58153,108,314,270,128,417,263,78,225,262,142,281,150,2639,174,1357,1110,561,26146097,58,0,0,189,129,0,0
